;Abgeordnete;Partei;Vorname;Nachname;E-Mail;Wahlkreis;PLZ
0;Andrej Hunko;Linke;Andrej;Hunko;andrej.hunko@bundestag.de;Aachen I;['52062', '52064', '52066', '52068', '52070', '52072', '52074', '52076', '52078', '52080']
1;Ye-One Rhie;SPD;Ye-One;Rhie;ye-one.rhie@bundestag.de;Aachen I;['52062', '52064', '52066', '52068', '52070', '52072', '52074', '52076', '52078', '52080']
2;Claudia Moll;SPD;Claudia;Moll;claudia.moll@bundestag.de;Aachen II;['52134', '52146', '52152', '52156', '52159', '52222', '52223', '52224', '52249', '52477', '52499']
3;Catarina dos Santos Firnhaber;CDU/CSU (CDU);Catarina;dos;catarina.dos@bundestag.de;Aachen II;['52134', '52146', '52152', '52156', '52159', '52222', '52223', '52224', '52249', '52477', '52499']
4;Lukas Benner;Grüne;Lukas;Benner;lukas.benner@bundestag.de;Aachen II;['52134', '52146', '52152', '52156', '52159', '52222', '52223', '52224', '52249', '52477', '52499']
5;Leni Breymaier;SPD;Leni;Breymaier;leni.breymaier@bundestag.de;Aalen – Heidenheim;['73430', '73431', '73432', '73433', '73434', '73441', '73447', '73450', '73457', '73460', '73463', '73466', '73467', '73469', '73479', '73485', '73486', '73488', '73489', '73491', '73492', '73494', '73495', '73497', '73499', '89168', '89518', '89520', '89522', '89537', '89542', '89547', '89551', '89555', '89561', '89564', '89567', '89568']
6;Roderich Kiesewetter;CDU/CSU (CDU);Roderich;Kiesewetter;roderich.kiesewetter@bundestag.de;Aalen – Heidenheim;['73430', '73431', '73432', '73433', '73434', '73441', '73447', '73450', '73457', '73460', '73463', '73466', '73467', '73469', '73479', '73485', '73486', '73488', '73489', '73491', '73492', '73494', '73495', '73497', '73499', '89168', '89518', '89520', '89522', '89537', '89542', '89547', '89551', '89555', '89561', '89564', '89567', '89568']
7;Mechthild Heil;CDU/CSU (CDU);Mechthild;Heil;mechthild.heil@bundestag.de;Ahrweiler;['53424', '53426', '53474', '53489', '53498', '53501', '53505', '53506', '53507', '53508', '53518', '53520', '53520', '53520', '53520', '53520', '53520', '53520', '53520', '53520', '53520', '53520', '53520', '53520', '53520', '53520', '53520', '53520', '53520', '53533', '53534', '56294', '56295', '56299', '56626', '56630', '56637', '56642', '56645', '56648', '56651', '56653', '56656', '56659', '56727', '56729', '56729', '56729', '56729', '56729', '56729', '56729', '56729', '56729', '56729', '56729', '56729', '56729', '56729', '56729', '56729', '56729', '56729', '56729', '56729', '56729', '56729', '56729', '56736', '56743', '56745', '56746', '56751', '56753']
8;Marcus Faber;FDP;Marcus;Faber;marcus.faber@bundestag.de;Altmark;['14715', '29410', '29413', '29416', '38486', '38489', '39517', '39517', '39517', '39517', '39517', '39517', '39517', '39517', '39517', '39517', '39517', '39517', '39517', '39517', '39517', '39517', '39517', '39524', '39539', '39576', '39579', '39590', '39596', '39599', '39606', '39615', '39619', '39624', '39629', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39649']
9;Herbert Wollmann;SPD;Herbert;Wollmann;herbert.wollmann@bundestag.de;Altmark;['14715', '29410', '29413', '29416', '38486', '38489', '39517', '39517', '39517', '39517', '39517', '39517', '39517', '39517', '39517', '39517', '39517', '39517', '39517', '39517', '39517', '39517', '39517', '39524', '39539', '39576', '39579', '39590', '39596', '39599', '39606', '39615', '39619', '39624', '39629', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39649']
